SA2_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
122031695,1249,700,350,103,10930
122031696,1539,1016,668,163,9314
122031697,932,806,624,436,6688
123011433,976,876,460,305,6690
123011698,288,139,35,9,2766
123011699,850,593,258,64,6521
123011700,698,350,128,16,5133
123011701,1290,621,202,38,8715
123011702,341,163,41,4,4429
123021436,1002,727,348,47,8156
123021437,1260,935,489,148,10547
123021438,1385,815,192,49,8660
123021439,0,0,0,0,0
123021441,1062,929,388,66,7463
123021443,1326,807,265,61,9349
123021444,1561,1157,464,128,9133
123021703,572,312,129,26,7408
123021704,704,421,234,174,5547
123021705,1290,750,253,60,7951
123021706,888,535,232,61,6122
123031445,424,317,167,45,2701
123031446,819,588,271,123,5444
123031447,1340,992,426,180,9136
123031448,728,588,190,30,4695
124011449,805,730,361,81,3647
124011450,1965,1619,705,169,10826
124011451,4,4,0,0,7
124011452,1634,1590,710,222,8183
124011453,1364,949,363,69,6607
124011454,2264,1864,850,372,12432
124011455,767,817,373,132,3883
124021456,0,3,0,0,3
124031457,942,741,230,56,6896
124031459,1027,862,419,118,6900
124031460,1487,751,217,46,9828
124031461,1022,863,394,112,7856
124031462,1158,770,372,154,11710
124031463,788,420,188,28,5503
124031464,1022,745,505,337,9412
124031465,416,210,82,7,2697
124031707,1174,577,211,33,7566
124031708,389,239,106,23,6129
124041466,989,822,572,278,7636
124041467,1130,575,251,57,6991
124041468,536,302,114,19,3906
124051469,588,242,56,15,2960
124051470,1484,925,203,49,8622
124051580,650,421,170,39,5184
124051581,895,585,282,147,7438
125011475,0,0,0,0,0
125011582,653,412,174,83,8493
125011583,333,179,114,80,5176
125011584,475,227,88,36,3346
125011585,511,298,119,50,3689
125011586,1290,701,269,104,11181
125011587,298,170,65,21,2131
125011709,607,355,121,19,5711
125011710,813,415,100,14,14259
125021477,1771,982,466,181,13055
125021478,1633,901,476,218,9913
125021711,1120,721,432,213,6628
125021712,1587,1078,572,113,10736
125031479,1097,644,282,204,8272
125031480,702,544,270,227,5858
125031481,1047,577,226,63,10951
125031483,978,535,262,90,8502
125031484,1073,636,326,138,9313
125031486,0,0,0,0,9
125031487,0,0,0,0,3
125031713,994,776,415,112,7325
125031714,1240,654,302,94,10788
125031715,691,414,225,108,5252
125031716,428,209,104,36,3365
125041489,1444,821,363,168,13922
125041490,778,607,340,62,4824
125041491,1060,771,411,160,12370
125041493,1679,1068,636,272,12144
125041494,838,638,405,104,5850
125041588,745,470,239,136,7373
125041589,1053,524,239,120,12767
125041717,330,234,68,18,8559
125041718,337,208,72,21,6093
125041719,357,203,49,35,5611
126011496,2424,1765,997,377,13238
126011720,1301,800,395,163,9030
126011721,1596,1186,467,177,11478
126021498,1412,928,486,248,9408
126021499,1006,871,549,452,5944
126021500,1446,1016,589,357,15664
126021501,1387,800,374,193,9512
126021503,1523,934,418,133,12691
126021590,508,323,113,41,2408
126021722,792,552,201,88,4090
126021723,1744,1227,553,198,11298
126021724,1662,1038,482,213,11540
126021725,616,397,227,164,7871
127011504,819,446,246,80,5642
127011505,534,383,185,125,5495
127011592,0,0,3,0,15
127011593,535,274,65,14,2942
127011594,766,400,147,25,4720
127011595,807,364,105,17,5123
127011596,688,286,97,12,5352
127011597,860,331,111,15,7017
127011726,290,236,112,22,2311
127011727,510,225,56,10,6800
127011728,523,380,178,38,5750
127011729,490,257,97,37,7995
127021509,852,532,190,109,6012
127021510,1452,890,312,97,7729
127021511,936,619,349,222,7703
127021512,803,456,215,76,6058
127021513,882,484,281,133,7159
127021514,651,395,147,60,3877
127021515,925,598,266,81,6096
127021516,880,549,299,77,6513
127021517,479,347,162,39,3130
127021518,333,203,86,32,1927
127021519,998,712,344,180,6901
127021520,537,465,200,68,3968
127021521,3,0,6,0,19
127031522,1127,605,263,120,7342
127031523,1261,899,395,74,9579
127031524,1566,779,400,247,10942
127031599,595,360,200,49,4386
127031601,330,185,76,30,2871
127031730,416,169,45,4,5931
127031731,747,475,189,43,8814
127031732,757,460,248,101,5367
127031733,1039,401,159,144,6739
128011529,1722,1122,613,187,10098
128011530,1523,1117,752,463,11358
128011531,1347,1049,861,477,8665
128011602,877,621,316,135,7007
128011603,1257,927,413,185,7034
128011604,2639,1961,834,356,14861
128011605,365,263,108,44,1839
128011606,910,628,280,83,5117
128021533,519,404,266,200,3576
128021534,1268,877,267,61,5751
128021535,2218,1384,416,134,11119
128021536,1933,1457,714,244,12249
128021537,0,0,0,0,28
128021538,1713,1125,697,375,13425
128021607,1193,979,610,185,8961
128021608,631,473,249,61,3968
128021609,459,247,65,9,1970
197979799,0,0,0,0,0
199999499,1165,680,173,28,7237
201011001,1019,688,332,65,8095
201011002,1229,1008,576,202,7025
201011005,713,602,203,40,3853
201011006,559,406,204,80,4949
201011007,386,250,73,14,2010
201011008,877,754,456,222,6785
201011481,702,612,327,188,4988
201011482,1305,959,372,127,7680
201011483,809,721,333,147,6356
201011484,796,712,353,129,5946
201021009,599,415,176,54,3330
201021010,821,727,307,104,4139
201021011,1371,1230,460,138,5992
201021012,657,406,159,17,3230
201031013,325,386,144,39,1686
201031014,405,363,147,40,2177
201031015,418,390,120,8,2420
201031016,572,619,381,117,3421
201031017,596,507,235,40,2582
202011018,1172,921,472,275,7729
202011019,825,668,311,108,5707
202011020,1182,1010,579,257,7363
202011021,797,584,273,104,5030
202011022,1400,1249,830,419,9988
202011023,400,283,77,12,2589
202011024,825,635,312,55,5357
202011025,867,627,228,49,6577
202021026,848,548,172,27,4233
202021027,1158,1184,698,309,6468
202021028,1234,1108,424,77,5353
202021029,557,464,245,67,2588
