SA2_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
509021240,562,227,305,214,209,146,240,249,39,2189
509021241,665,219,270,165,203,120,221,271,28,2161
509021242,525,91,200,81,119,45,222,172,24,1479
509021243,573,579,739,571,545,415,465,605,88,4577
509021244,271,266,329,218,228,123,249,182,41,1904
509021245,423,268,291,223,213,130,215,255,40,2058
509031246,510,128,175,130,144,84,148,210,28,1551
509031247,923,169,211,143,180,92,194,275,44,2233
509031248,136,120,193,93,101,36,241,115,26,1062
509031249,260,314,303,239,199,152,148,264,29,1922
509031250,752,218,248,170,198,110,205,342,27,2271
510011262,977,1675,918,1031,916,519,353,630,158,7176
510011263,236,462,199,435,215,83,95,207,64,1995
510011264,110,161,84,176,54,26,37,84,48,789
510011265,492,647,399,472,387,157,201,358,82,3198
510011266,111,134,85,114,77,27,50,94,21,715
510021267,160,316,770,120,125,29,743,371,44,2687
510021268,175,229,613,190,194,123,524,202,59,2314
510021269,341,405,585,124,312,101,248,180,48,2351
510021270,364,593,1331,516,539,324,883,585,152,5295
510031271,288,379,961,269,284,112,1022,415,100,3828
510031272,977,1348,2203,833,1020,530,875,879,198,8866
510031273,206,284,643,196,225,73,343,246,37,2266
511011274,685,755,920,529,644,494,689,665,127,5501
511011275,701,154,226,101,162,62,273,268,56,2003
511021276,396,261,252,229,243,174,167,288,41,2050
511021277,367,339,423,348,274,177,128,374,66,2496
511031278,210,229,747,291,325,259,690,386,67,3202
511031279,689,1025,1621,696,804,454,1137,635,100,7170
511031280,473,976,1003,427,557,276,673,321,91,4791
511031281,0,0,0,0,0,0,0,0,0,0
511031282,130,161,354,142,152,96,481,201,38,1757
511031283,161,231,313,149,125,28,438,190,25,1658
511031284,0,0,0,0,0,0,0,0,0,0
511041285,444,922,783,704,489,492,446,643,80,4985
511041286,324,386,630,375,375,325,366,421,65,3275
511041287,392,629,766,559,518,361,404,382,73,4087
511041288,567,1061,809,751,625,445,396,520,60,5229
511041289,211,172,282,140,137,118,156,210,42,1465
511041290,186,122,209,92,81,30,243,169,36,1170
511041291,574,144,168,120,153,63,218,197,28,1658
511041292,624,280,295,230,236,123,240,368,46,2437
597979799,9,33,83,9,10,0,31,98,6,277
599999499,107,257,272,223,150,77,213,292,33,1614
601011001,156,149,354,440,235,293,287,471,73,2461
601011002,341,337,642,477,531,345,326,389,67,3446
601011003,346,459,412,356,458,216,148,200,57,2642
601021004,441,933,334,412,393,256,76,207,51,3115
601021005,746,1135,660,526,642,371,127,259,71,4532
601021006,211,455,271,234,284,154,37,127,30,1797
601021007,820,1506,697,759,931,471,172,340,82,5777
601021008,488,962,418,450,481,271,127,236,56,3489
601021009,179,345,356,410,272,204,134,287,40,2224
601021010,89,91,189,193,139,105,89,198,24,1114
601021011,302,555,485,587,507,302,195,423,73,3429
601021012,339,616,436,289,292,142,77,155,33,2377
601031013,268,336,386,317,356,232,151,191,47,2275
